age,L,M,H,gender
2,1000,1000,1000,M
3,1000,1400,1400,M
4,1200,1400,1600,M
5,1200,1400,1600,M
6,1400,1600,1800,M
7,1400,1600,1800,M
8,1400,1600,2000,M
9,1600,1800,2000,M
10,1600,1800,2200,M
11,1800,2000,2200,M
12,1800,2200,2400,M
13,2000,2200,2600,M
14,2000,2400,2800,M
15,2200,2600,3000,M
16,2400,2800,3200,M
17,2400,2800,3200,M
18,2400,2800,3200,M
19-20,2600,2800,3000,M
21-25,2400,2800,3000,M
26-30,2400,2600,3000,M
31-35,2400,2600,3000,M
36-40,2400,2600,2800,M
41-45,2200,2600,2800,M
46-50,2200,2400,2800,M
51-55,2200,2400,2800,M
56-60,2200,2400,2600,M
61-65,2000,2400,2600,M
66-70,2000,2200,2600,M
71-75,2000,2200,2600,M
76+,2000,2200,2400,M
2,1000,1000,1000,F
3,1000,1200,1400,F
4,1200,1400,1400,F
5,1200,1400,1600,F
6,1200,1400,1600,F
7,1200,1600,1800,F
8,1400,1600,1800,F
9,1400,1600,1800,F
10,1400,1800,2000,F
11,1600,1800,2000,F
12,1600,2000,2200,F
13,1600,2000,2200,F
14,1800,2000,2400,F
15,1800,2000,2400,F
16,1800,2000,2400,F
17,1800,2000,2400,F
18,1800,2000,2400,F
19-20,2000,2200,2400,F
21-25,2000,2200,2400,F
26-30,1800,2000,2400,F
31-35,1800,2000,2200,F
36-40,1800,2000,2200,F
41-45,1800,2000,2200,F
46-50,1800,2000,2200,F
51-55,1600,1800,2200,F
56-60,1600,1800,2200,F
61-65,1600,1800,2000,F
66-70,1600,1800,2000,F
71-75,1600,1800,2000,F
76+,1600,1800,2000,F